Week 1,,,,,,,,,,Week 2,,,,,,,,,,Week 3,,,,,,,,,,Week 4,,,,,,,,
"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,,,"Day 1 (Bench Heavy, Speed Bench, Upper Hypertrophy)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day 7 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 7 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 7 (HIIT, Prowler, Mobility)",,,,,,,,,,"Day 7 (HIIT, Prowler, Mobility)",,,,,,,,
Bike HIIT x3,30s,Hard,3-4m,Slow,,,,,,Bike HIIT x3,30s,Hard,3-4m,Slow,,,,,,Bike HIIT x3,30s,Hard,3-4m,Slow,,,,,,Bike HIIT x3,30s,Hard,3-4m,Slow,,,,
EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,,,EMOTM Prowler Runs,,x4,,,,,,
Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,,,Mobility Routine ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Training 1RM for Week 2,,,,,,,,,,Training 1RM for Week 3,,,,,,,,,,Training 1RM for Week 4,,,,,,,,,,Training 1RM for Week 5,,,,,
Exercise,Reps,,,,New Training Max,,,,,Exercise,Reps,,,,New Training Max,,,,,Exercise,Reps,,,,New Training Max,,,,,Exercise,Reps,,,,New Training Max,,,
Squat,9 to 10,< Choose from drop down menu,,,105,,,,,Squat,1 to 4,< Choose from drop down menu,,,100,,,,,Squat,5 to 6,< Choose from drop down menu,,,100,,,,,Squat,5 to 6,< Choose from drop down menu,,,100,,,
Bench,5 to 6,< Choose from drop down menu,,,100,,,,,Bench,5 to 6,< Choose from drop down menu,,,100,,,,,Bench,5 to 6,< Choose from drop down menu,,,100,,,,,Bench,5 to 6,< Choose from drop down menu,,,100,,,
Deadlift,5 to 6,< Choose from drop down menu,,,100,,,,,Deadlift,5 to 6,< Choose from drop down menu,,,100,,,,,Deadlift,5 to 6,< Choose from drop down menu,,,100,,,,,Deadlift,5 to 6,< Choose from drop down menu,,,100,,,
